,director,link,city,state,country,nm_film_directed,nm_of_wins,nm_of_nominations
0,Abbas Kiarostami,http://www.imdb.com/name/nm0452102/?ref_=sr_t_1,Tehran,,Iran,48,40,38
1,Abdellatif Kechiche,http://www.imdb.com/name/nm0444244/?ref_=sr_t_1,Tunis,,Tunisia,9,62,46
2,Abderrahmane Sissako,http://www.imdb.com/name/nm0803066/?ref_=sr_t_1,Kiffa,,Mauritania,18,39,16
3,Adam Curtis,http://www.imdb.com/name/nm0193231/?ref_=sr_t_1,Dartford,Kent,"England, UK",30,11,1
4,Adam McKay,http://www.imdb.com/name/nm0570912/?ref_=sr_t_1,Philadelphia,Pennsylvania,USA,26,43,98
5,Agnieszka Holland,http://www.imdb.com/name/nm0002140/?ref_=sr_t_1,Warsaw,Mazowieckie,Poland,47,62,66
6,Agnès Jaoui,http://www.imdb.com/name/nm0418450/?ref_=sr_t_1,Antony,Hauts-de-Seine,France,6,23,16
7,Agnès Varda,http://www.imdb.com/name/nm0889513/?ref_=sr_t_1,Ixelles,,Belgium,63,73,37
8,Aki Kaurismäki,http://www.imdb.com/name/nm0442454/?ref_=sr_t_1,Orimattila,,Finland,39,60,95
9,Alain Cavalier,http://www.imdb.com/name/nm0146760/?ref_=sr_t_1,Vendôme,Loir-et-Cher,France,39,17,17
10,Alain Gomis,http://www.imdb.com/name/nm0327120/?ref_=sr_t_1,Paris,,France,11,19,28
11,Alain Guiraudie,http://www.imdb.com/name/nm0347492/?ref_=sr_t_1,Villefranche-de-Rouergue,Aveyron,France,14,19,44
12,Alain Resnais,http://www.imdb.com/name/nm0720297/?ref_=sr_t_1,Vannes,Morbihan,France,49,60,55
13,Alan Mak,http://www.imdb.com/name/nm0538320/?ref_=sr_t_1,,,Hong Kong,21,14,28
14,Albert Serra,http://www.imdb.com/name/nm2247200/?ref_=sr_t_1,Banyoles,Girona,"Catalonia, Spain",21,28,44
15,Alejandro González Iñárritu,http://www.imdb.com/name/nm0327944/?ref_=fn_all_nme_1,Mexico City,Distrito Federal,Mexico,23,136,173
16,Aleksandr Sokurov,http://www.imdb.com/name/nm0812546/?ref_=sr_t_1,Podorvikha,Irkutskaya oblast,"RSFSR, USSR [now Russia]",63,51,52
17,Aleksey Fedorchenko,http://www.imdb.com/name/nm1922735/?ref_=sr_t_1,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast",Orenburgskaya oblast,"RSFSR, USSR [now Russia]",18,32,46
18,Aleksey German,http://www.imdb.com/name/nm0314516/?ref_=sr_t_1,Leningrad,Russian SFSR,"USSR [now St. Petersburg, Russia]",6,13,4
19,Alex Garland,http://www.imdb.com/name/nm0307497/?ref_=sr_t_1,London,England,UK,6,22,74
20,Alexander Payne,http://www.imdb.com/name/nm0668247/?ref_=sr_t_1,Omaha,Nebraska,USA,16,87,141
21,Alfonso Cuarón,http://www.imdb.com/name/nm0190859/?ref_=sr_t_1,Mexico City,Distrito Federal,Mexico,20,262,208
22,Amma Asante,http://www.imdb.com/name/nm1392994/?ref_=sr_t_1,Streatham,London,"England, UK",10,13,10
23,Ana Lily Amirpour,http://www.imdb.com/name/nm3235877/?ref_=fn_all_nme_1,Margate,Kent,"England, UK",21,12,21
24,Andrea Arnold,http://www.imdb.com/name/nm0036349/?ref_=sr_t_1,Dartford,Kent,"England, UK",17,70,49
25,Andrew Adamson,http://www.imdb.com/name/nm0011470/?ref_=sr_t_1,Auckland,,New Zealand,11,7,22
26,Andrew Dominik,http://www.imdb.com/name/nm0231596/?ref_=sr_t_1,Wellington,,New Zealand,20,8,20
27,Andrew Dosunmu,http://www.imdb.com/name/nm0234506/?ref_=sr_t_1,,,,12,3,5
28,Andrew Haigh,http://www.imdb.com/name/nm0354091/?ref_=sr_t_1,Harrogate,North Yorkshire,"England, UK",15,38,65
29,Andrew Stanton,http://www.imdb.com/name/nm0004056/?ref_=sr_t_1,Boston,Massachusetts,USA,20,37,69
30,Andrey Zvyagintsev,http://www.imdb.com/name/nm1168657/?ref_=sr_t_1,Novosibirsk,Novosibirskaya oblast,"RSFSR, USSR [now Russia]",9,76,70
31,Andrzej Wajda,http://www.imdb.com/name/nm0906667/?ref_=sr_t_1,Suwalki,Podlaskie,Poland,60,59,38
32,Andrzej Zulawski,http://www.imdb.com/name/nm0958558/?ref_=sr_t_1,Lwów,Lwowskie,"Poland [now Lviv, Ukraine]",17,10,11
33,André Singer,http://www.imdb.com/name/nm0801885/?ref_=sr_t_1,,,,7,12,15
34,Ang Lee,http://www.imdb.com/name/nm0000487/?ref_=sr_t_1,Pingtung,,Taiwan,22,104,99
35,Angela Ricci Lucchi,http://www.imdb.com/name/nm0723187/?ref_=fn_all_nme_1,Lugo,Emilia-Romagna,Italy,51,3,4
36,Annemarie Jacir,http://www.imdb.com/name/nm1486975/?ref_=sr_t_1,Bethlehem,,Palestine,13,40,21
37,Anthony Russo,http://www.imdb.com/name/nm0751577/?ref_=sr_t_1,Cleveland,Ohio,USA,28,14,18
38,Antonio Di Trapani,http://www.imdb.com/name/nm3721431/?ref_=fn_all_nme_1,,,,6,1,2
39,Anurag Kashyap,http://www.imdb.com/name/nm0440604/?ref_=sr_t_1,Gorakhpur,Uttar Pradesh,India,40,30,62
40,Apichatpong Weerasethakul,http://www.imdb.com/name/nm0917405/?ref_=sr_t_1,Bangkok,,Thailand,58,34,71
41,Ari Folman,http://www.imdb.com/name/nm0284369/?ref_=sr_t_1,Haifa,,Israel,7,37,44
42,Arnaud Desplechin,http://www.imdb.com/name/nm0221611/?ref_=sr_t_1,Roubaix,Nord,France,20,19,63
43,Asghar Farhadi,http://www.imdb.com/name/nm1410815/?ref_=sr_t_1,Khomeyni Shahr,Isfahan,Iran,11,102,99
44,Ashutosh Gowariker,http://www.imdb.com/name/nm0332950/?ref_=sr_t_1,Kolhapur,Maharashtra,India,10,31,17
45,Asif Kapadia,http://www.imdb.com/name/nm0438090/?ref_=sr_t_1,Hackney,London,"England, UK",26,35,36
46,Ava DuVernay,http://www.imdb.com/name/nm1148550/?ref_=sr_t_1,Long Beach,California,USA,23,71,80
47,Avi Nesher,http://www.imdb.com/name/nm0383605/?ref_=sr_t_1,Ramat Gan,,Israel,23,14,9
48,Bahman Ghobadi,http://www.imdb.com/name/nm0315842/?ref_=sr_t_1,Baneh,,Iran,12,58,29
49,Bart Layton,http://www.imdb.com/name/nm1717925/?ref_=sr_t_1,,,,9,15,24
50,Baz Luhrmann,http://www.imdb.com/name/nm0525303/?ref_=sr_t_1,New South Wales,,Australia,21,46,76
51,Bazi Gete,http://www.imdb.com/name/nm6514631/?ref_=sr_t_1,,,,Not Available,2,1
52,Ben Rivers,http://www.imdb.com/name/nm4234237/?ref_=sr_t_1,Somerset,England,UK,40,12,27
53,Ben Stiller,http://www.imdb.com/name/nm0001774/?ref_=sr_t_1,New York City,New York,USA,23,18,68
54,Ben Wheatley,http://www.imdb.com/name/nm1296554/?ref_=sr_t_1,Billericay,Essex,"England, UK",26,9,30
55,Benh Zeitlin,http://www.imdb.com/name/nm1022455/?ref_=sr_t_1,Manhattan,New York,USA,7,59,56
56,Benny Safdie,http://www.imdb.com/name/nm1509478/?ref_=sr_t_1,New York City,New York,USA,23,22,68
57,Bong Joon-ho,http://www.imdb.com/name/nm0094435/?ref_=sr_t_1,Daegu,,South Korea,17,208,136
58,Boo Junfeng,http://www.imdb.com/name/nm3008853/?ref_=sr_t_1,,,Singapore,9,13,9
59,Bouli Lanners,http://www.imdb.com/name/nm0099521/?ref_=sr_t_1,Moresnet-Chapelle,,Belgium,7,36,27
60,Brad Bird,http://www.imdb.com/name/nm0083348/?ref_=sr_t_1,Kalispell,Montana,USA,12,34,44
61,Brian De Palma,http://www.imdb.com/name/nm0000361/?ref_=fn_all_nme_1,Newark,New Jersey,USA,44,16,28
62,Brian Taylor,http://www.imdb.com/name/nm0962729/?ref_=sr_t_1,,,,8,1,1
63,Béla Tarr,http://www.imdb.com/name/nm0850601/?ref_=sr_t_1,Pécs,,Hungary,18,24,7
64,Cameron Crowe,http://www.imdb.com/name/nm0001081/?ref_=sr_t_1,Palm Springs,California,USA,15,21,44
65,Carlos Reygadas,http://www.imdb.com/name/nm1196161/?ref_=sr_t_1,Mexico City,Distrito Federal,Mexico,13,48,31
66,Carlos Saura,http://www.imdb.com/name/nm0767022/?ref_=sr_t_1,Huesca,Aragón,Spain,52,63,46
67,Carol Morley,http://www.imdb.com/name/nm1345246/?ref_=sr_t_1,Stockport,Greater Manchester,"England, UK",10,2,8
68,Cary Joji Fukunaga,http://www.imdb.com/name/nm1560977/?ref_=fn_all_nme_1,Oakland,California,USA,15,26,35
69,Catherine Breillat,http://www.imdb.com/name/nm0106924/?ref_=sr_t_1,Bressuire,Deux-Sèvres,France,20,11,17
70,Chaitanya Tamhane,http://www.imdb.com/name/nm4058904/?ref_=sr_t_1,Mumbai,Maharashtra,India,3,28,14
71,Chantal Akerman,http://www.imdb.com/name/nm0001901/?ref_=sr_t_1,Brussels,,Belgium,51,10,18
72,Charles Burnett,http://www.imdb.com/name/nm0122344/?ref_=sr_t_1,Vicksburg,Mississippi,USA,32,20,7
73,Charlie Kaufman,http://www.imdb.com/name/nm0442109/?ref_=sr_t_1,New York City,New York,USA,5,108,115
74,Chris Buck,http://www.imdb.com/name/nm0118333/?ref_=sr_t_1,Wichita,Kansas,USA,10,14,21
75,Christian Marclay,http://www.imdb.com/name/nm3827692/?ref_=sr_t_1,,,,15,1,Not Available
76,Christian Petzold,http://www.imdb.com/name/nm0678857/?ref_=sr_t_1,Hilden,North Rhine-Westphalia,Germany,20,46,67
77,Christopher Guest,http://www.imdb.com/name/nm0001302/?ref_=sr_t_1,New York City,New York,USA,17,9,20
78,Christopher Morris,http://www.imdb.com/name/nm0606439/?ref_=sr_t_1,Bristol,England,UK,8,9,17
79,Christopher Nolan,http://www.imdb.com/name/nm0634240/?ref_=sr_t_1,London,England,UK,18,231,301
80,Claire Denis,http://www.imdb.com/name/nm0219136/?ref_=sr_t_1,Paris,,France,36,16,49
81,Claude Lanzmann,http://www.imdb.com/name/nm0487351/?ref_=sr_t_1,Bois-Colombes,Hauts-de-Seine,France,11,14,7
82,Clint Eastwood,http://www.imdb.com/name/nm0000142/?ref_=sr_t_1,San Francisco,California,USA,45,162,183
83,Clio Barnard,http://www.imdb.com/name/nm1163237/?ref_=sr_t_1,"Otley, Leeds, West Yorkshire",West Yorkshire,"England, UK",10,16,37
84,Conrad Vernon,http://www.imdb.com/name/nm0970447/?ref_=sr_t_1,Lubbock,Texas,USA,10,1,12
85,Corneliu Porumboiu,http://www.imdb.com/name/nm1717949/?ref_=sr_t_1,Vaslui,,Romania,13,30,53
86,Courtney Hunt,http://www.imdb.com/name/nm2581581/?ref_=sr_t_1,Memphis,Tennessee,USA,9,15,17
87,Cristi Puiu,http://www.imdb.com/name/nm1090998/?ref_=sr_t_1,Bucharest,,Romania,10,50,35
88,Cristian Mungiu,http://www.imdb.com/name/nm0612816/?ref_=sr_t_1,Iasi,,Romania,13,46,72
89,Céline Sciamma,http://www.imdb.com/name/nm1780037/?ref_=sr_t_1,Pontoise,Val-d'Oise,France,9,57,92
90,Damien Chazelle,http://www.imdb.com/name/nm3227090/?ref_=sr_t_1,Providence,Rhode Island,USA,9,79,140
91,Damián Szifrón,http://www.imdb.com/name/nm1167933/?ref_=sr_t_1,Ramos Mejía,Buenos Aires,Argentina,13,37,32
92,Dan Gilroy,http://www.imdb.com/name/nm0319659/?ref_=sr_t_1,Santa Monica,California,USA,4,19,25
93,Danis Tanovic,http://www.imdb.com/name/nm0849786/?ref_=sr_t_1,Zenica,Bosnia and Herzegovina,Yugoslavia,19,37,30
94,Danièle Huillet,http://www.imdb.com/name/nm0401247/?ref_=sr_t_1,Paris,,France,30,6,8
95,Darren Aronofsky,http://www.imdb.com/name/nm0004716/?ref_=sr_t_1,Brooklyn,New York City,"New York, USA",19,51,109
96,David Cronenberg,http://www.imdb.com/name/nm0000343/?ref_=sr_t_1,Toronto,Ontario,Canada,48,80,95
97,David Fincher,http://www.imdb.com/name/nm0000399/?ref_=sr_t_1,Denver,Colorado,USA,95,72,154
98,David France,http://www.imdb.com/name/nm0289800/?ref_=sr_t_1,,,,7,31,25
99,David Lynch,http://www.imdb.com/name/nm0000186/?ref_=sr_t_1,Missoula,Montana,USA,108,60,85
100,David Michôd,http://www.imdb.com/name/nm2391575/?ref_=sr_t_1,,,,14,23,26
101,David O'Reilly,https://www.imdb.com/name/nm2419195/?ref_=fn_all_nme_2,Kilkenny,,Ireland,33,44,15
102,David O. Russell,http://www.imdb.com/name/nm0751102/?ref_=fn_all_nme_1,Manhattan,New York City,"New York, USA",17,46,100
103,David Silverman,http://www.imdb.com/name/nm0798899/?ref_=sr_t_1,New York City,New York,USA,26,8,19
104,David Wain,http://www.imdb.com/name/nm0906476/?ref_=sr_t_1,Shaker Heights,Ohio,USA,36,7,7
105,Debra Granik,http://www.imdb.com/name/nm0335138/?ref_=sr_t_1,Cambridge,Massachusetts,USA,7,49,85
106,Denis Villeneuve,http://www.imdb.com/name/nm0898288/?ref_=sr_t_1,Trois-Rivières,Québec,Canada,21,100,176
107,Derek Cianfrance,http://www.imdb.com/name/nm0161834/?ref_=sr_t_1,Lakewood,Colorado,USA,7,10,24
108,Destin Daniel Cretton,http://www.imdb.com/name/nm2308774/?ref_=fn_all_nme_1,Maui,Hawaii,USA,17,36,32
109,Dibakar Banerjee,http://www.imdb.com/name/nm1962313/?ref_=sr_t_1,New Delhi,,India,13,4,10
110,Don Hertzfeldt,http://www.imdb.com/name/nm0381116/?ref_=sr_t_1,Fremont,California,USA,20,161,32
111,Dror Moreh,http://www.imdb.com/name/nm0603466/?ref_=sr_t_1,,,,5,4,10
112,Duke Johnson,http://www.imdb.com/name/nm2122478/?ref_=sr_t_1,St. Louis,Missouri,USA,8,16,22
113,Duncan Jones,http://www.imdb.com/name/nm1512910/?ref_=sr_t_1,Bromley,Kent,"England, UK",7,15,13
114,Edgar Wright,http://www.imdb.com/name/nm0942367/?ref_=sr_t_1,Poole,Dorset,"England, UK",30,20,50
115,Edward Yang,http://www.imdb.com/name/nm0945981/?ref_=sr_t_1,Shanghai,,China,12,26,24
116,Elia Suleiman,http://www.imdb.com/name/nm0837839/?ref_=sr_t_1,Nazareth,,Israel,12,25,28
117,Emad Burnat,http://www.imdb.com/name/nm4796818/?ref_=sr_t_1,,,Palestine,2,17,9
118,Eran Kolirin,http://www.imdb.com/name/nm0464115/?ref_=sr_t_1,Holon,,Israel,7,43,19
119,Eran Riklis,http://www.imdb.com/name/nm0726954/?ref_=sr_t_1,Beersheba,,Israel,22,20,21
120,Eric Darnell,http://www.imdb.com/name/nm0201509/?ref_=sr_t_1,Prairie Village,Kansas,USA,14,10,7
121,Eric Khoo,http://www.imdb.com/name/nm0451799/?ref_=sr_t_1,,,Singapore,26,23,22
122,Ermanno Olmi,http://www.imdb.com/name/nm0647438/?ref_=sr_t_1,Bergamo,Lombardy,Italy,103,54,26
123,Ernie Gehr,http://www.imdb.com/name/nm0311780/?ref_=sr_t_1,Milwaukee,Wisconsin,USA,28,1,Not Available
124,Ethan Coen,http://www.imdb.com/name/nm0001053/?ref_=sr_t_1,Minneapolis,Minnesota,USA,26,114,286
125,Evan Goldberg,http://www.imdb.com/name/nm1698571/?ref_=sr_t_1,Vancouver,British Columbia,Canada,14,6,22
126,Eytan Fox,http://www.imdb.com/name/nm0297202/?ref_=sr_t_1,New York City,New York,USA,13,17,9
127,Fabián Bielinsky,http://www.imdb.com/name/nm0081433/?ref_=sr_t_1,Buenos Aires,,Argentina,4,17,6
128,Fatih Akin,http://www.imdb.com/name/nm0015359/?ref_=sr_t_1,Hamburg,,West Germany,23,53,46
129,Fernando Meirelles,http://www.imdb.com/name/nm0576987/?ref_=sr_t_1,São Paulo,São Paulo,Brazil,29,70,53
130,Florian Henckel von Donnersmarck,http://www.imdb.com/name/nm0003697/?ref_=fn_all_nme_1,Cologne,North Rhine-Westphalia,Germany,8,61,16
131,Francis Ford Coppola,http://www.imdb.com/name/nm0000338/?ref_=fn_all_nme_1,Detroit,Michigan,USA,40,56,56
132,Franco Piavoli,http://www.imdb.com/name/nm0681311/?ref_=sr_t_1,Pozzolengo,Lombardy,Italy,18,4,4
133,François Ozon,http://www.imdb.com/name/nm0654830/?ref_=sr_t_1,Paris,,France,48,37,112
134,Frederick Wiseman,http://www.imdb.com/name/nm0936464/?ref_=sr_t_1,Boston,Massachusetts,USA,50,48,55
135,Gabriela Pichler,http://www.imdb.com/name/nm3307527/?ref_=sr_t_1,Huddinge församling,Huddinge,"Södermanland, Sweden",4,11,13
136,Gareth Edwards,http://www.imdb.com/name/nm2284484/?ref_=sr_t_1,Nuneaton,Warwickshire,"England, UK",9,14,15
137,Gaspar Noé,http://www.imdb.com/name/nm0637615/?ref_=sr_t_1,Buenos Aires,,Argentina,36,22,33
138,George Clooney,http://www.imdb.com/name/nm0000123/?ref_=sr_t_1,Lexington,Kentucky,USA,12,99,206
139,George Lucas,http://www.imdb.com/name/nm0000184/?ref_=sr_t_1,Modesto,California,USA,19,66,41
140,George Miller,http://www.imdb.com/name/nm0004306/?ref_=sr_t_1,Chinchilla,Queensland,Australia,19,76,71
141,Gerhard Benedikt Friedl,http://www.imdb.com/name/nm0295068/?ref_=fn_all_nme_1,Bad Aussee,Styria,Austria,2,Not Available,Not Available
142,Gina Prince-Bythewood,http://www.imdb.com/name/nm0697656/?ref_=sr_t_1,,,USA,21,21,30
143,Greg Mottola,http://www.imdb.com/name/nm0609549/?ref_=sr_t_1,Dix Hills,Long Island,"New York, USA",20,8,6
